,gender,height
0,Male,73.84701702
1,Male,68.78190405
2,Male,74.11010539
3,Male,71.7309784
4,Male,69.88179586
5,Male,67.25301569
6,Male,68.78508125
7,Male,68.34851551
8,Male,67.01894966
9,Male,63.45649398
10,Male,71.19538228
11,Male,71.64080512
12,Male,64.76632913
13,Male,69.2830701
14,Male,69.24373223
15,Male,67.6456197
16,Male,72.41831663
17,Male,63.97432572
18,Male,69.6400599
19,Male,67.93600485
20,Male,67.91505019
21,Male,69.43943987
22,Male,66.14913196
23,Male,75.20597361
24,Male,67.89319634
25,Male,68.1440328
26,Male,69.08963143
27,Male,72.80084352
28,Male,67.42124228
29,Male,68.49641536
30,Male,68.61811055
31,Male,74.03380762
32,Male,71.52821604
33,Male,69.1801611
34,Male,69.57720237
35,Male,70.40092889
36,Male,69.07617117
37,Male,67.19352328
38,Male,65.80731565
39,Male,64.30418789
40,Male,67.97433623
41,Male,72.18942596
42,Male,65.27034552
43,Male,66.09017738
44,Male,67.51032152
45,Male,70.10478626
46,Male,68.25183644
47,Male,72.17270912
48,Male,69.17985762
49,Male,72.87036015
50,Male,64.78258298
51,Male,70.18354989
52,Male,68.49145025
53,Male,67.33083088
54,Male,66.99094408
55,Male,66.4995499
56,Male,68.35305665
57,Male,70.77445907
58,Male,71.21592367
59,Male,70.01336535
60,Male,71.40318222
61,Male,69.55200509
62,Male,73.81853456
63,Male,66.99688275
64,Male,71.41846589
65,Male,65.27930021
66,Male,68.27419147
67,Male,72.76536995
68,Male,68.0993798
69,Male,68.89670607
70,Male,69.28950996
71,Male,70.52322452
72,Male,69.66372523
73,Male,67.59526881
74,Male,72.50812038
75,Male,71.2529856
76,Male,71.80918689
77,Male,72.24516548
78,Male,66.51262766
79,Male,66.029034
80,Male,67.57715394
81,Male,68.2465686
82,Male,73.826127
83,Male,69.80246436
84,Male,65.95957778
85,Male,71.07901758
86,Male,66.59619654
87,Male,68.95153509
88,Male,68.24446179
89,Male,72.31682512
90,Male,71.81542045
91,Male,65.23704952
92,Male,70.64053009
93,Male,64.7319256
94,Male,67.10355118
95,Male,65.11748489
96,Male,71.70123402
